id;username;password;balance;total bet amount;nr_win;nr_loss;nr_bets;btc_amount;eth_amount;doge_amount;litecoin_amount;trx_amount;logged_in
0;jamesbutt;du836n;6.0;80327.0;78.0;160.0;240.0;72.0;5.0;92.0;33.0;38.0;0
1;josephinedarakjy;rr666b;52161.0;77069.0;95.0;93.0;187.0;3.0;89.0;68.0;21.0;7.0;0
2;artvenere;tf786j;22191.0;14730.0;129.0;34.0;163.0;15.0;17.0;73.0;53.0;5.0;0
3;lennapaprocki;zc612s;35602.0;15077.0;78.0;80.0;158.0;2.0;76.0;54.0;6.0;20.0;0
4;donettefoller;ADSFG;60264.0;46983.0;97.0;174.0;271.0;31.0;90.0;74.0;18.0;58.0;0
5;simonamorasca;xa109u;130.0;2447.0;75.0;252.0;327.0;44.0;86.0;19.0;79.0;99.0;0
6;mitsuetollner;kb956k;26115.0;14.0;98.0;74.0;172.0;60.0;3.0;4.0;53.0;52.0;0
7;leotadilliard;xe106y;47664.0;20168.0;181.0;54.0;235.0;14.0;12.0;70.0;90.0;49.0;0
8;sagewieser;dp237r;82826.0;55233.0;40.0;231.0;271.0;22.0;76.0;42.0;67.0;64.0;0
9;krismarrier;xt133p;21442.0;51563.0;93.0;240.0;333.0;100.0;61.0;44.0;61.0;67.0;0
10;minnaamigon;zg612v;88463.0;72120.0;38.0;217.0;255.0;41.0;38.0;66.0;36.0;74.0;0
11;abelmaclead;hh729p;70760.0;70870.0;159.0;56.0;215.0;75.0;30.0;24.0;46.0;40.0;0
12;kileycaldarera;mc551e;99108.0;48772.0;122.0;173.0;295.0;90.0;52.0;67.0;60.0;26.0;0
13;gracielaruta;lb258h;51208.0;12499.0;72.0;97.0;169.0;52.0;20.0;68.0;19.0;10.0;0
14;cammyalbares;ri321r;57401.0;38138.0;62.0;121.0;183.0;61.0;83.0;31.0;3.0;5.0;0
15;mattiepoquette;oq600v;37805.0;36804.0;52.0;255.0;307.0;91.0;95.0;82.0;32.0;7.0;0
16;meaghangarufi;wg550f;55779.0;39605.0;254.0;12.0;266.0;58.0;94.0;35.0;21.0;58.0;0
17;gladysrim;tp223x;61678.0;78071.0;300.0;11.0;311.0;71.0;51.0;23.0;73.0;93.0;0
18;yukiwhobrey;vq769i;52936.0;47081.0;1.0;246.0;247.0;55.0;22.0;82.0;78.0;10.0;0
19;fletcherflosi;ay339e;38435.0;63437.0;280.0;13.0;293.0;93.0;43.0;30.0;28.0;99.0;0
20;bettenicka;bf184z;81234.0;8488.0;79.0;103.0;182.0;28.0;16.0;16.0;66.0;56.0;0
21;veronikainouye;vp277x;82150.0;77047.0;46.0;204.0;250.0;56.0;24.0;68.0;3.0;99.0;0
22;willardkolmetz;ys686w;86196.0;76626.0;163.0;53.0;216.0;13.0;27.0;19.0;98.0;59.0;0
23;maryannroyster;qt261d;63888.0;4076.0;5.0;305.0;310.0;34.0;65.0;58.0;91.0;62.0;0
24;alishaslusarski;cw212t;4276.0;19422.0;328.0;32.0;360.0;55.0;92.0;86.0;99.0;28.0;0
25;alleneiturbide;kv528j;44242.0;75495.0;150.0;66.0;216.0;65.0;38.0;26.0;71.0;16.0;0
26;chanelcaudy;nc881h;3520.0;40756.0;194.0;39.0;233.0;61.0;83.0;36.0;17.0;36.0;0
27;ezekielchui;ax724z;42421.0;41372.0;151.0;56.0;207.0;7.0;35.0;22.0;81.0;62.0;0
28;willowkusko;yf433f;14807.0;30472.0;116.0;213.0;329.0;38.0;86.0;96.0;77.0;32.0;0
29;bernardofigeroa;ac973o;56315.0;71282.0;205.0;138.0;343.0;66.0;81.0;96.0;81.0;19.0;0
30;ammiecorrio;vj985s;2315.0;77612.0;135.0;19.0;154.0;31.0;29.0;51.0;24.0;19.0;0
31;francinevocelka;mc319n;44039.0;23861.0;146.0;222.0;368.0;63.0;73.0;81.0;98.0;53.0;0
